pairs	target	gold	order	distractors	full_sent	prefix	sent
1901	is	are	y	2	Informal methods of validation and verification are some of the more frequently used in modeling and simulation.	Informal methods of validation and verification	Informal methods of validation and verification is
1902	are	are	x	1	All the links in the article are trivial mentions.	All the links in the article	All the links in the article are
1902	is	are	y	1	All the links in the article are trivial mentions.	All the links in the article	All the links in the article is
1903	include	include	x	1	It is in the section cubensae, other mushrooms of this section include psilocybe subcubensis.	It is in the section cubensae, other mushrooms of this section	It is in the section cubensae, other mushrooms of this section include
1903	includes	include	y	1	It is in the section cubensae, other mushrooms of this section include psilocybe subcubensis.	It is in the section cubensae, other mushrooms of this section	It is in the section cubensae, other mushrooms of this section includes
1904	are	are	x	2	On the other hand, disadvantages of whole body counting are that it can only be used for gamma emitters, except in special circumstances, and it can misinterpret external contamination as an internal contamination.	On the other hand, disadvantages of whole body counting	On the other hand, disadvantages of whole body counting are
1904	is	are	y	2	On the other hand, disadvantages of whole body counting are that it can only be used for gamma emitters, except in special circumstances, and it can misinterpret external contamination as an internal contamination.	On the other hand, disadvantages of whole body counting	On the other hand, disadvantages of whole body counting is
1905	is	is	x	4	The combinatorial work necessary for optimal estimates of the strengths of others hands is hard, probably intractable.	The combinatorial work necessary for optimal estimates of the strengths of others hands	The combinatorial work necessary for optimal estimates of the strengths of others hands is
1905	are	is	y	4	The combinatorial work necessary for optimal estimates of the strengths of others hands is hard, probably intractable.	The combinatorial work necessary for optimal estimates of the strengths of others hands	The combinatorial work necessary for optimal estimates of the strengths of others hands are
1906	emerge	emerge	x	0	The leaflets emerge from the rachis at varying angles creating a stiff, plumose leaf.	The leaflets	The leaflets emerge
1906	emerges	emerge	y	0	The leaflets emerge from the rachis at varying angles creating a stiff, plumose leaf.	The leaflets	The leaflets emerges
1907	are	are	x	1	Army school, but half the people in the category are former south vietnamese officers.	Army school, but half the people in the category	Army school, but half the people in the category are
1907	is	are	y	1	Army school, but half the people in the category are former south vietnamese officers.	Army school, but half the people in the category	Army school, but half the people in the category is
1908	are	are	x	3	Important people in the community's newspaper history are the brothers frank and henry geisler, edward e.	Important people in the community's newspaper history	Important people in the community's newspaper history are
1908	is	are	y	3	Important people in the community's newspaper history are the brothers frank and henry geisler, edward e.	Important people in the community's newspaper history	Important people in the community's newspaper history is
1909	is	is	x	0	However, he adds that only in a minority of schizophrenia cases`` the child is able to retain the good maternal image''.	However, he adds that only in a minority of schizophrenia cases`` the child	However, he adds that only in a minority of schizophrenia cases`` the child is
1909	are	is	y	0	However, he adds that only in a minority of schizophrenia cases`` the child is able to retain the good maternal image''.	However, he adds that only in a minority of schizophrenia cases`` the child	However, he adds that only in a minority of schizophrenia cases`` the child are
1910	include	include	x	1	Clients across this period include pepsi, budweiser, bacardi, nintendo, nissan, remington, the bbc, channel 4, itv, mtv, vh-1 and sky.	Clients across this period	Clients across this period include
1910	includes	include	y	1	Clients across this period include pepsi, budweiser, bacardi, nintendo, nissan, remington, the bbc, channel 4, itv, mtv, vh-1 and sky.	Clients across this period	Clients across this period includes
1911	are	are	x	3	Minor technical violations of the wording, but not the spirit, of policy are less critical, i feel.	Minor technical violations of the wording, but not the spirit, of policy	Minor technical violations of the wording, but not the spirit, of policy are
1911	is	are	y	3	Minor technical violations of the wording, but not the spirit, of policy are less critical, i feel.	Minor technical violations of the wording, but not the spirit, of policy	Minor technical violations of the wording, but not the spirit, of policy is
1912	include	include	x	0	Changes include having six alderman replace the five trustees, dividing the city into three wards, and appointing a city clerk position to replace the recorder.	Changes	Changes include
1912	includes	include	y	0	Changes include having six alderman replace the five trustees, dividing the city into three wards, and appointing a city clerk position to replace the recorder.	Changes	Changes includes
1913	is	is	x	0	The cost of knowledge is a protest by academics against the business practices of academic journal publisher elsevier.	The cost of knowledge	The cost of knowledge is
1913	are	is	y	0	The cost of knowledge is a protest by academics against the business practices of academic journal publisher elsevier.	The cost of knowledge	The cost of knowledge are
1914	are	are	x	2	The three basic types of gap loss are angular misalignment loss, lateral offset loss, and longitudinal displacement loss.	The three basic types of gap loss	The three basic types of gap loss are
1914	is	are	y	2	The three basic types of gap loss are angular misalignment loss, lateral offset loss, and longitudinal displacement loss.	The three basic types of gap loss	The three basic types of gap loss is
1915	make	make	x	3	The lovely picturesque surroundings with the beauty of mother nature make this a perfect tourist spot.	The lovely picturesque surroundings with the beauty of mother nature	The lovely picturesque surroundings with the beauty of mother nature make
1915	makes	make	y	3	The lovely picturesque surroundings with the beauty of mother nature make this a perfect tourist spot.	The lovely picturesque surroundings with the beauty of mother nature	The lovely picturesque surroundings with the beauty of mother nature makes
1916	vary	vary	x	0	Traditions vary in each town with the way it is carried out.	Traditions	Traditions vary
1916	varies	vary	y	0	Traditions vary in each town with the way it is carried out.	Traditions	Traditions varies
1917	is	is	x	3	Having respect for the rules and regulations that govern edits here is a basic requirement for keeping your editing rights.	Having respect for the rules and regulations that govern edits here	Having respect for the rules and regulations that govern edits here is
1917	are	is	y	3	Having respect for the rules and regulations that govern edits here is a basic requirement for keeping your editing rights.	Having respect for the rules and regulations that govern edits here	Having respect for the rules and regulations that govern edits here are
1918	are	are	x	1	Other characteristics common in short syndrome are a triangular face, small chin with a dimple, a loss of fat under the skin( lipodystrophy), abnormal position of the ears, hearing loss and delayed speech.	Other characteristics common in short syndrome	Other characteristics common in short syndrome are
1918	is	are	y	1	Other characteristics common in short syndrome are a triangular face, small chin with a dimple, a loss of fat under the skin( lipodystrophy), abnormal position of the ears, hearing loss and delayed speech.	Other characteristics common in short syndrome	Other characteristics common in short syndrome is
1919	are	are	x	1	The goal to limit teen pregnancy is shared by republicans and democrats, though avenues of reduction are usually different.	The goal to limit teen pregnancy is shared by republicans and democrats, though avenues of reduction	The goal to limit teen pregnancy is shared by republicans and democrats, though avenues of reduction are
1919	is	are	y	1	The goal to limit teen pregnancy is shared by republicans and democrats, though avenues of reduction are usually different.	The goal to limit teen pregnancy is shared by republicans and democrats, though avenues of reduction	The goal to limit teen pregnancy is shared by republicans and democrats, though avenues of reduction is
1920	is	is	x	1	Supreme identity', according to an expression borrowed from islamic esoterism, where the doctrine on this and on many other points is fundamentally the same as in the hindu tradition, in spite of great differences in form.	Supreme identity', according to an expression borrowed from islamic esoterism, where the doctrine on this and on many other points	Supreme identity', according to an expression borrowed from islamic esoterism, where the doctrine on this and on many other points is
1920	are	is	y	1	Supreme identity', according to an expression borrowed from islamic esoterism, where the doctrine on this and on many other points is fundamentally the same as in the hindu tradition, in spite of great differences in form.	Supreme identity', according to an expression borrowed from islamic esoterism, where the doctrine on this and on many other points	Supreme identity', according to an expression borrowed from islamic esoterism, where the doctrine on this and on many other points are
1921	have	have	x	1	I would note that still only 2 members of the list have claims of masonry in their articles.	I would note that still only 2 members of the list	I would note that still only 2 members of the list have
1921	has	have	y	1	I would note that still only 2 members of the list have claims of masonry in their articles.	I would note that still only 2 members of the list	I would note that still only 2 members of the list has
1922	are	are	x	3	Opinions about another morning show in the market are just that, opinions and therefore do not qualify.	Opinions about another morning show in the market	Opinions about another morning show in the market are
1922	is	are	y	3	Opinions about another morning show in the market are just that, opinions and therefore do not qualify.	Opinions about another morning show in the market	Opinions about another morning show in the market is
1923	stays	stays	x	0	Rewrite is indicated per discussion, and stubbification may be appropriate in the meantime, but the article stays.	Rewrite is indicated per discussion, and stubbification may be appropriate in the meantime, but the article	Rewrite is indicated per discussion, and stubbification may be appropriate in the meantime, but the article stays
1923	stay	stays	y	0	Rewrite is indicated per discussion, and stubbification may be appropriate in the meantime, but the article stays.	Rewrite is indicated per discussion, and stubbification may be appropriate in the meantime, but the article	Rewrite is indicated per discussion, and stubbification may be appropriate in the meantime, but the article stay
1924	are	are	x	2	The soils in the aspen parkland biome are also quite fertile, especially around edmonton and saskatoon.	The soils in the aspen parkland biome	The soils in the aspen parkland biome are
1924	is	are	y	2	The soils in the aspen parkland biome are also quite fertile, especially around edmonton and saskatoon.	The soils in the aspen parkland biome	The soils in the aspen parkland biome is
1925	are	are	x	2	Even today's computers and simulation software are not adequate.	Even today's computers and simulation software	Even today's computers and simulation software are
1925	is	are	y	2	Even today's computers and simulation software are not adequate.	Even today's computers and simulation software	Even today's computers and simulation software is
1926	is	is	x	0	Williams' second child is son austin, who was born in 1991, with actress stacey dash.	Williams' second child	Williams' second child is
1926	are	is	y	0	Williams' second child is son austin, who was born in 1991, with actress stacey dash.	Williams' second child	Williams' second child are
1927	are	are	x	1	Iron nuclei are the most stable nuclei( in particular iron-56), and the best sources of energy are therefore nuclei whose weights are as far removed from iron as possible.	Iron nuclei are the most stable nuclei( in particular iron-56), and the best sources of energy	Iron nuclei are the most stable nuclei( in particular iron-56), and the best sources of energy are
1927	is	are	y	1	Iron nuclei are the most stable nuclei( in particular iron-56), and the best sources of energy are therefore nuclei whose weights are as far removed from iron as possible.	Iron nuclei are the most stable nuclei( in particular iron-56), and the best sources of energy	Iron nuclei are the most stable nuclei( in particular iron-56), and the best sources of energy is
1928	are	are	x	2	Outside of that, stereotypes of wealth and status are far more reliable indicators of interracial marriage than race.	Outside of that, stereotypes of wealth and status	Outside of that, stereotypes of wealth and status are
1928	is	are	y	2	Outside of that, stereotypes of wealth and status are far more reliable indicators of interracial marriage than race.	Outside of that, stereotypes of wealth and status	Outside of that, stereotypes of wealth and status is
1929	are	are	x	1	Several works of this cycle are not extant.	Several works of this cycle	Several works of this cycle are
1929	is	are	y	1	Several works of this cycle are not extant.	Several works of this cycle	Several works of this cycle is
1930	goes	goes	x	2	The common core of the two versions preserved in the e and g manuscripts goes back to the twelfth century.	The common core of the two versions preserved in the e and g manuscripts	The common core of the two versions preserved in the e and g manuscripts goes
1930	go	goes	y	2	The common core of the two versions preserved in the e and g manuscripts goes back to the twelfth century.	The common core of the two versions preserved in the e and g manuscripts	The common core of the two versions preserved in the e and g manuscripts go
1931	include	include	x	2	Regimes for reducing discomfort on withdrawal include a very gradual reduction in dose( over 6 to 12 weeks), and changing to a ssri with a long half life, e.	Regimes for reducing discomfort on withdrawal	Regimes for reducing discomfort on withdrawal include
1931	includes	include	y	2	Regimes for reducing discomfort on withdrawal include a very gradual reduction in dose( over 6 to 12 weeks), and changing to a ssri with a long half life, e.	Regimes for reducing discomfort on withdrawal	Regimes for reducing discomfort on withdrawal includes
1932	is	is	x	1	The reason i added those tags is because you reverted my three weeks of edits( i think it was two actually, hehe).	The reason i added those tags	The reason i added those tags is
1932	are	is	y	1	The reason i added those tags is because you reverted my three weeks of edits( i think it was two actually, hehe).	The reason i added those tags	The reason i added those tags are
1933	are	are	x	1	Charitable donations of money are as common as the volunteering of time.	Charitable donations of money	Charitable donations of money are
1933	is	are	y	1	Charitable donations of money are as common as the volunteering of time.	Charitable donations of money	Charitable donations of money is
1934	are	are	x	1	Co2 emissions per capita are the highest in the oecd, with a significant portion from international road transport.	Co2 emissions per capita	Co2 emissions per capita are
1934	is	are	y	1	Co2 emissions per capita are the highest in the oecd, with a significant portion from international road transport.	Co2 emissions per capita	Co2 emissions per capita is
1935	appear	appear	x	2	The forward- and rearward-generated sounds of a speaker driver appear out of phase from each other because they are generated through opposite motion of the diaphragm and because they travel different paths before converging at the listener's position.	The forward- and rearward-generated sounds of a speaker driver	The forward- and rearward-generated sounds of a speaker driver appear
1935	appears	appear	y	2	The forward- and rearward-generated sounds of a speaker driver appear out of phase from each other because they are generated through opposite motion of the diaphragm and because they travel different paths before converging at the listener's position.	The forward- and rearward-generated sounds of a speaker driver	The forward- and rearward-generated sounds of a speaker driver appears
1936	include	include	x	0	Turman's other television appearances include the twilight zone segment`` paladin of the lost hour''( co-starring danny kaye with a script by harlan ellison), matlock, millennium, and the sitcom all of us.	Turman's other television appearances	Turman's other television appearances include
1936	includes	include	y	0	Turman's other television appearances include the twilight zone segment`` paladin of the lost hour''( co-starring danny kaye with a script by harlan ellison), matlock, millennium, and the sitcom all of us.	Turman's other television appearances	Turman's other television appearances includes
1937	are	are	x	2	Since september, 2001, 33 building complexes for top-secret intelligence work are either under construction or have been built.	Since september, 2001, 33 building complexes for top-secret intelligence work	Since september, 2001, 33 building complexes for top-secret intelligence work are
1937	is	are	y	2	Since september, 2001, 33 building complexes for top-secret intelligence work are either under construction or have been built.	Since september, 2001, 33 building complexes for top-secret intelligence work	Since september, 2001, 33 building complexes for top-secret intelligence work is
1938	are	are	x	1	The object collections not on view are available by appointment only and subject to accessibility.	The object collections not on view	The object collections not on view are
1938	is	are	y	1	The object collections not on view are available by appointment only and subject to accessibility.	The object collections not on view	The object collections not on view is
1939	is	is	x	1	The third major bank regulator, designed to swiftly remove failing banks is the federal deposit insurance corporation, a bailout fund and resolution authority that can eliminate banks that are failing, with minimum disruption to the banking industry itself.	The third major bank regulator, designed to swiftly remove failing banks	The third major bank regulator, designed to swiftly remove failing banks is
1939	are	is	y	1	The third major bank regulator, designed to swiftly remove failing banks is the federal deposit insurance corporation, a bailout fund and resolution authority that can eliminate banks that are failing, with minimum disruption to the banking industry itself.	The third major bank regulator, designed to swiftly remove failing banks	The third major bank regulator, designed to swiftly remove failing banks are
1940	are	are	x	4	Recently, among hundreds of highly energetic projects, the promotions of gender equality and its role in healthcare are also raised.	Recently, among hundreds of highly energetic projects, the promotions of gender equality and its role in healthcare	Recently, among hundreds of highly energetic projects, the promotions of gender equality and its role in healthcare are
1940	is	are	y	4	Recently, among hundreds of highly energetic projects, the promotions of gender equality and its role in healthcare are also raised.	Recently, among hundreds of highly energetic projects, the promotions of gender equality and its role in healthcare	Recently, among hundreds of highly energetic projects, the promotions of gender equality and its role in healthcare is
1941	are	are	x	2	Now shopping, conventions, fine dining, and outdoor beauty are also major forces in attracting tourist dollars.	Now shopping, conventions, fine dining, and outdoor beauty	Now shopping, conventions, fine dining, and outdoor beauty are
1941	is	are	y	2	Now shopping, conventions, fine dining, and outdoor beauty are also major forces in attracting tourist dollars.	Now shopping, conventions, fine dining, and outdoor beauty	Now shopping, conventions, fine dining, and outdoor beauty is
1942	tells	tells	x	0	Each chapter tells a third person omniscient, but focuses heavily on the point of view from each of the penderwick sisters.	Each chapter	Each chapter tells
1942	tell	tells	y	0	Each chapter tells a third person omniscient, but focuses heavily on the point of view from each of the penderwick sisters.	Each chapter	Each chapter tell
1943	is	is	x	0	This prototype is not the final product and nothing will be saved.	This prototype	This prototype is
1943	are	is	y	0	This prototype is not the final product and nothing will be saved.	This prototype	This prototype are
1944	are	are	x	1	Conditioned reflexes, on the contrary, are a function of the cerebral cortex and can be developed under the action of the most varied stimuli applied to different receptive fields.	Conditioned reflexes, on the contrary,	Conditioned reflexes, on the contrary, are
1944	is	are	y	1	Conditioned reflexes, on the contrary, are a function of the cerebral cortex and can be developed under the action of the most varied stimuli applied to different receptive fields.	Conditioned reflexes, on the contrary,	Conditioned reflexes, on the contrary, is
1945	becomes	becomes	x	0	In the limit of r approaching zero, the wigner semicircle distribution becomes a dirac delta function.	In the limit of r approaching zero, the wigner semicircle distribution	In the limit of r approaching zero, the wigner semicircle distribution becomes
1945	become	becomes	y	0	In the limit of r approaching zero, the wigner semicircle distribution becomes a dirac delta function.	In the limit of r approaching zero, the wigner semicircle distribution	In the limit of r approaching zero, the wigner semicircle distribution become
1946	use	use	x	3	Systems which require the torque of the system under test to be measured typically use a strain gauge mounted on a torque arm that is attached to the housing perpendicular to the input shaft.	Systems which require the torque of the system under test to be measured typically	Systems which require the torque of the system under test to be measured typically use
1946	uses	use	y	3	Systems which require the torque of the system under test to be measured typically use a strain gauge mounted on a torque arm that is attached to the housing perpendicular to the input shaft.	Systems which require the torque of the system under test to be measured typically	Systems which require the torque of the system under test to be measured typically uses
1947	is	is	x	2	The mere idea that she suggests banning people who make frivolous complaints is funny, because she labels any complaint against her and her friends to be frivolous.	The mere idea that she suggests banning people who make frivolous complaints	The mere idea that she suggests banning people who make frivolous complaints is
1947	are	is	y	2	The mere idea that she suggests banning people who make frivolous complaints is funny, because she labels any complaint against her and her friends to be frivolous.	The mere idea that she suggests banning people who make frivolous complaints	The mere idea that she suggests banning people who make frivolous complaints are
1948	are	are	x	1	Examples of such unrelated comment are brews, that argument just show your lack of insight in modern physics, which goes off on a discussion of general relativity that has no connection whatsoever to what was written, it makes sense to choose a standard.	Examples of such unrelated comment	Examples of such unrelated comment are
1948	is	are	y	1	Examples of such unrelated comment are brews, that argument just show your lack of insight in modern physics, which goes off on a discussion of general relativity that has no connection whatsoever to what was written, it makes sense to choose a standard.	Examples of such unrelated comment	Examples of such unrelated comment is
1949	reveal	reveal	x	1	The stories in this section typically reveal an experience that had a profound impact on the author's life or the life of her children.	The stories in this section typically	The stories in this section typically reveal
1949	reveals	reveal	y	1	The stories in this section typically reveal an experience that had a profound impact on the author's life or the life of her children.	The stories in this section typically	The stories in this section typically reveals
1950	include	include	x	2	Other complexity measures used in complexity theory include communication complexity, circuit complexity, and decision tree complexity.	Other complexity measures used in complexity theory	Other complexity measures used in complexity theory include
1950	includes	include	y	2	Other complexity measures used in complexity theory include communication complexity, circuit complexity, and decision tree complexity.	Other complexity measures used in complexity theory	Other complexity measures used in complexity theory includes
1951	exist	exist	x	0	The gifts it received of which records exist are in small amounts, usually a few pennies or guilders.	The gifts it received of which records	The gifts it received of which records exist
1951	exists	exist	y	0	The gifts it received of which records exist are in small amounts, usually a few pennies or guilders.	The gifts it received of which records	The gifts it received of which records exists
1952	are	are	x	2	The second colour morph, from the west african savanna, is banded black and yellow, with a black tail, the head is brownish-yellow on top, the lips, chin and throat are yellow.	The second colour morph, from the west african savanna, is banded black and yellow, with a black tail, the head is brownish-yellow on top, the lips, chin and throat	The second colour morph, from the west african savanna, is banded black and yellow, with a black tail, the head is brownish-yellow on top, the lips, chin and throat are
1952	is	are	y	2	The second colour morph, from the west african savanna, is banded black and yellow, with a black tail, the head is brownish-yellow on top, the lips, chin and throat are yellow.	The second colour morph, from the west african savanna, is banded black and yellow, with a black tail, the head is brownish-yellow on top, the lips, chin and throat	The second colour morph, from the west african savanna, is banded black and yellow, with a black tail, the head is brownish-yellow on top, the lips, chin and throat is
1953	is	is	x	0	I am nominating this for featured article because the article is comprehensive in covering the topic and anything regarding the playstation brand.	I am nominating this for featured article because the article	I am nominating this for featured article because the article is
1953	are	is	y	0	I am nominating this for featured article because the article is comprehensive in covering the topic and anything regarding the playstation brand.	I am nominating this for featured article because the article	I am nominating this for featured article because the article are
1954	make	make	x	3	Fifa world cup, for which nearly all countries in the world participate at the qualifying stage and 32 make the finals).	Fifa world cup, for which nearly all countries in the world participate at the qualifying stage and 32	Fifa world cup, for which nearly all countries in the world participate at the qualifying stage and 32 make
1954	makes	make	y	3	Fifa world cup, for which nearly all countries in the world participate at the qualifying stage and 32 make the finals).	Fifa world cup, for which nearly all countries in the world participate at the qualifying stage and 32	Fifa world cup, for which nearly all countries in the world participate at the qualifying stage and 32 makes
1955	is	is	x	1	Exploration of the caves is one of the delightful experiences of the tsankawi hike, but caution must be used not to touch the structures as this can cause harmful deterioration.	Exploration of the caves	Exploration of the caves is
1955	are	is	y	1	Exploration of the caves is one of the delightful experiences of the tsankawi hike, but caution must be used not to touch the structures as this can cause harmful deterioration.	Exploration of the caves	Exploration of the caves are
1956	are	are	x	4	The requirements for declaration of cessation of incapacity regarding the regent are the same ones that are valid for a declaration of cessation of incapacity regarding the sovereign.	The requirements for declaration of cessation of incapacity regarding the regent	The requirements for declaration of cessation of incapacity regarding the regent are
1956	is	are	y	4	The requirements for declaration of cessation of incapacity regarding the regent are the same ones that are valid for a declaration of cessation of incapacity regarding the sovereign.	The requirements for declaration of cessation of incapacity regarding the regent	The requirements for declaration of cessation of incapacity regarding the regent is
1957	are	are	x	4	Proposals concerning graduate student training and research collaboration are under preparation.	Proposals concerning graduate student training and research collaboration	Proposals concerning graduate student training and research collaboration are
1957	is	are	y	4	Proposals concerning graduate student training and research collaboration are under preparation.	Proposals concerning graduate student training and research collaboration	Proposals concerning graduate student training and research collaboration is
1958	remain	remain	x	0	Some minor prose issues remain, but certainly nothing substantial enough so as to delay promotion to fa.	Some minor prose issues	Some minor prose issues remain
1958	remains	remain	y	0	Some minor prose issues remain, but certainly nothing substantial enough so as to delay promotion to fa.	Some minor prose issues	Some minor prose issues remains
1959	are	are	x	2	Large outdoor music festivals in the summer and autumn are popular, such as glastonbury, v festival, and the reading and leeds festivals.	Large outdoor music festivals in the summer and autumn	Large outdoor music festivals in the summer and autumn are
1959	is	are	y	2	Large outdoor music festivals in the summer and autumn are popular, such as glastonbury, v festival, and the reading and leeds festivals.	Large outdoor music festivals in the summer and autumn	Large outdoor music festivals in the summer and autumn is
1960	is	is	x	1	See limit of a function for details on limits and why this order of operations is important.	See limit of a function for details on limits and why this order of operations	See limit of a function for details on limits and why this order of operations is
1960	are	is	y	1	See limit of a function for details on limits and why this order of operations is important.	See limit of a function for details on limits and why this order of operations	See limit of a function for details on limits and why this order of operations are
1961	involve	involve	x	0	Downwards social comparisons involve comparing oneself to an individual perceived to be inferior to or less skilled than the self.	Downwards social comparisons	Downwards social comparisons involve
1961	involves	involve	y	0	Downwards social comparisons involve comparing oneself to an individual perceived to be inferior to or less skilled than the self.	Downwards social comparisons	Downwards social comparisons involves
1962	are	are	x	0	The first few sections are excellent and extremely well-written.	The first few sections	The first few sections are
1962	is	are	y	0	The first few sections are excellent and extremely well-written.	The first few sections	The first few sections is
1963	are	are	x	2	His behavior, language, agenda, article interests and mode of operation are completely identical.	His behavior, language, agenda, article interests and mode of operation	His behavior, language, agenda, article interests and mode of operation are
1963	is	are	y	2	His behavior, language, agenda, article interests and mode of operation are completely identical.	His behavior, language, agenda, article interests and mode of operation	His behavior, language, agenda, article interests and mode of operation is
1964	is	is	x	0	Tumor suppressor candidate 4 is a protein that in humans is encoded by the tusc4 gene.	Tumor suppressor candidate 4	Tumor suppressor candidate 4 is
1964	are	is	y	0	Tumor suppressor candidate 4 is a protein that in humans is encoded by the tusc4 gene.	Tumor suppressor candidate 4	Tumor suppressor candidate 4 are
1965	reveals	reveals	x	0	A novel norindenoisoquinoline structure reveals a common interfacial inhibitor paradigm for ternary trappingof topoisomerase i-dna covalent complexes.	A novel norindenoisoquinoline structure	A novel norindenoisoquinoline structure reveals
1965	reveal	reveals	y	0	A novel norindenoisoquinoline structure reveals a common interfacial inhibitor paradigm for ternary trappingof topoisomerase i-dna covalent complexes.	A novel norindenoisoquinoline structure	A novel norindenoisoquinoline structure reveal
1966	is	is	x	1	The pristine area where the birds live is one of the last remaining such andean cloud forests in the country.	The pristine area where the birds live	The pristine area where the birds live is
1966	are	is	y	1	The pristine area where the birds live is one of the last remaining such andean cloud forests in the country.	The pristine area where the birds live	The pristine area where the birds live are
1967	do	do	x	1	It is from this realm that the various hosts and the avatar of the phoenix do their phoenix work, while they wait to resurrect.	It is from this realm that the various hosts and the avatar of the phoenix	It is from this realm that the various hosts and the avatar of the phoenix do
1967	does	do	y	1	It is from this realm that the various hosts and the avatar of the phoenix do their phoenix work, while they wait to resurrect.	It is from this realm that the various hosts and the avatar of the phoenix	It is from this realm that the various hosts and the avatar of the phoenix does
1968	is	is	x	0	It turns out that, for certain energies, the transmission coefficient is equal to one, i.	It turns out that, for certain energies, the transmission coefficient	It turns out that, for certain energies, the transmission coefficient is
1968	are	is	y	0	It turns out that, for certain energies, the transmission coefficient is equal to one, i.	It turns out that, for certain energies, the transmission coefficient	It turns out that, for certain energies, the transmission coefficient are
1969	are	are	x	3	The characters c, g, r, q, 1, a, e, r, and t are useful for quickly distinguishing arial and helvetica.	The characters c, g, r, q, 1, a, e, r, and t	The characters c, g, r, q, 1, a, e, r, and t are
1969	is	are	y	3	The characters c, g, r, q, 1, a, e, r, and t are useful for quickly distinguishing arial and helvetica.	The characters c, g, r, q, 1, a, e, r, and t	The characters c, g, r, q, 1, a, e, r, and t is
1970	are	are	x	2	He was incarcerated in prison camps near vladivostok and magadan, and the circumstances of his death and its date are uncertain, the registered date of 1944 in all likelihood invented.	He was incarcerated in prison camps near vladivostok and magadan, and the circumstances of his death and its date	He was incarcerated in prison camps near vladivostok and magadan, and the circumstances of his death and its date are
1970	is	are	y	2	He was incarcerated in prison camps near vladivostok and magadan, and the circumstances of his death and its date are uncertain, the registered date of 1944 in all likelihood invented.	He was incarcerated in prison camps near vladivostok and magadan, and the circumstances of his death and its date	He was incarcerated in prison camps near vladivostok and magadan, and the circumstances of his death and its date is
1971	are	are	x	3	Other minor ports in the coast line of the province are the bo, cau trang, b12, mui chua, dien cong, bach thai buoi, tien yen and dan tien.	Other minor ports in the coast line of the province	Other minor ports in the coast line of the province are
1971	is	are	y	3	Other minor ports in the coast line of the province are the bo, cau trang, b12, mui chua, dien cong, bach thai buoi, tien yen and dan tien.	Other minor ports in the coast line of the province	Other minor ports in the coast line of the province is
1972	include	include	x	2	Other types of municipality in the province include an indian government district, an island municipality, two mountain resort municipalities, a regional municipality and a resort municipality.	Other types of municipality in the province	Other types of municipality in the province include
1972	includes	include	y	2	Other types of municipality in the province include an indian government district, an island municipality, two mountain resort municipalities, a regional municipality and a resort municipality.	Other types of municipality in the province	Other types of municipality in the province includes
1973	is	is	x	2	A strong desire to save articles at all costs is not an excuse for ignoring clear rules.	A strong desire to save articles at all costs	A strong desire to save articles at all costs is
1973	are	is	y	2	A strong desire to save articles at all costs is not an excuse for ignoring clear rules.	A strong desire to save articles at all costs	A strong desire to save articles at all costs are
1974	is	is	x	0	You also want to consider whether the information is relevant to the article.	You also want to consider whether the information	You also want to consider whether the information is
1974	are	is	y	0	You also want to consider whether the information is relevant to the article.	You also want to consider whether the information	You also want to consider whether the information are
1975	is	is	x	0	A double-critical graph is a connected graph in which the deletion of any pair of adjacent vertices decreases the chromatic number by two.	A double-critical graph	A double-critical graph is
1975	are	is	y	0	A double-critical graph is a connected graph in which the deletion of any pair of adjacent vertices decreases the chromatic number by two.	A double-critical graph	A double-critical graph are
1976	fills	fills	x	0	That brought up reliever clarence mitchell, who went six for sixteen as a pinch-hitter this season and sometimes fills in at first base and in the outfield.	That brought up reliever clarence mitchell, who went six for sixteen as a pinch-hitter this season and sometimes	That brought up reliever clarence mitchell, who went six for sixteen as a pinch-hitter this season and sometimes fills
1976	fill	fills	y	0	That brought up reliever clarence mitchell, who went six for sixteen as a pinch-hitter this season and sometimes fills in at first base and in the outfield.	That brought up reliever clarence mitchell, who went six for sixteen as a pinch-hitter this season and sometimes	That brought up reliever clarence mitchell, who went six for sixteen as a pinch-hitter this season and sometimes fill
1977	is	is	x	0	The article is very worthy of keeping and expanding.	The article	The article is
1977	are	is	y	0	The article is very worthy of keeping and expanding.	The article	The article are
1978	has	has	x	0	The guernsey cow has many notable advantages for the dairy farmer over other breeds.	The guernsey cow	The guernsey cow has
1978	have	has	y	0	The guernsey cow has many notable advantages for the dairy farmer over other breeds.	The guernsey cow	The guernsey cow have
1979	have	have	x	2	Transportation battalion( united states), non-combat service support units of battalion size or smaller have to have their notability clearly established.	Transportation battalion( united states), non-combat service support units of battalion size or smaller	Transportation battalion( united states), non-combat service support units of battalion size or smaller have
1979	has	have	y	2	Transportation battalion( united states), non-combat service support units of battalion size or smaller have to have their notability clearly established.	Transportation battalion( united states), non-combat service support units of battalion size or smaller	Transportation battalion( united states), non-combat service support units of battalion size or smaller has
1980	are	are	x	3	Our main criteria for stub type creation are category coherence, and size.	Our main criteria for stub type creation	Our main criteria for stub type creation are
1980	is	are	y	3	Our main criteria for stub type creation are category coherence, and size.	Our main criteria for stub type creation	Our main criteria for stub type creation is
1981	are	are	x	1	The performers in question are both deceased.	The performers in question	The performers in question are
1981	is	are	y	1	The performers in question are both deceased.	The performers in question	The performers in question is
