pairs	order	P	T	prime	target
700	x	Passive	Passive	the cousin was beaten by the guy.	a leader is helped by a wife.
700	y	Active	Passive	the guy beat the cousin.	a leader is helped by a wife.
701	y	Passive	Active	the cousin was beaten by the guy.	a wife helps a leader.
701	x	Active	Active	the guy beat the cousin.	a wife helps a leader.
702	x	Passive	Passive	the cheese was smelled by the priest.	a leader is helped by a wife.
702	y	Active	Passive	the priest smelled the cheese.	a leader is helped by a wife.
703	y	Passive	Active	the cheese was smelled by the priest.	a wife helps a leader.
703	x	Active	Active	the priest smelled the cheese.	a wife helps a leader.
704	x	Passive	Passive	the guy was discovered by the buddy.	a leader is helped by a wife.
704	y	Active	Passive	the buddy discovered the guy.	a leader is helped by a wife.
705	y	Passive	Active	the guy was discovered by the buddy.	a wife helps a leader.
705	x	Active	Active	the buddy discovered the guy.	a wife helps a leader.
706	x	Passive	Passive	the beer was drunk by the boy.	a leader is helped by a wife.
706	y	Active	Passive	the boy drank the beer.	a leader is helped by a wife.
707	y	Passive	Active	the beer was drunk by the boy.	a wife helps a leader.
707	x	Active	Active	the boy drank the beer.	a wife helps a leader.
708	x	Passive	Passive	the crystal was destroyed by the guest.	a leader is helped by a wife.
708	y	Active	Passive	the guest destroyed the crystal.	a leader is helped by a wife.
709	y	Passive	Active	the crystal was destroyed by the guest.	a wife helps a leader.
709	x	Active	Active	the guest destroyed the crystal.	a wife helps a leader.
710	x	Passive	Passive	the pie was grabbed by the kid.	a leader is helped by a wife.
710	y	Active	Passive	the kid grabbed the pie.	a leader is helped by a wife.
711	y	Passive	Active	the pie was grabbed by the kid.	a wife helps a leader.
711	x	Active	Active	the kid grabbed the pie.	a wife helps a leader.
712	x	Passive	Passive	the juice was drunk by the guy.	a leader is helped by a wife.
712	y	Active	Passive	the guy drank the juice.	a leader is helped by a wife.
713	y	Passive	Active	the juice was drunk by the guy.	a wife helps a leader.
713	x	Active	Active	the guy drank the juice.	a wife helps a leader.
714	x	Passive	Passive	the club was judged by the girl.	a leader is helped by a wife.
714	y	Active	Passive	the girl judged the club.	a leader is helped by a wife.
715	y	Passive	Active	the club was judged by the girl.	a wife helps a leader.
715	x	Active	Active	the girl judged the club.	a wife helps a leader.
716	x	Passive	Passive	the army was bothered by the guy.	a leader is helped by a wife.
716	y	Active	Passive	the guy bothered the army.	a leader is helped by a wife.
717	y	Passive	Active	the army was bothered by the guy.	a wife helps a leader.
717	x	Active	Active	the guy bothered the army.	a wife helps a leader.
718	x	Passive	Passive	the cop was chased by the son.	a leader is helped by a wife.
718	y	Active	Passive	the son chased the cop.	a leader is helped by a wife.
719	y	Passive	Active	the cop was chased by the son.	a wife helps a leader.
719	x	Active	Active	the son chased the cop.	a wife helps a leader.
720	x	Passive	Passive	the professor was kissed by the buddy.	a girl is surprised by a child.
720	y	Active	Passive	the buddy kissed the professor.	a girl is surprised by a child.
721	y	Passive	Active	the professor was kissed by the buddy.	a child surprises a girl.
721	x	Active	Active	the buddy kissed the professor.	a child surprises a girl.
722	x	Passive	Passive	the juice was collected by the champion.	a girl is surprised by a child.
722	y	Active	Passive	the champion collected the juice.	a girl is surprised by a child.
723	y	Passive	Active	the juice was collected by the champion.	a child surprises a girl.
723	x	Active	Active	the champion collected the juice.	a child surprises a girl.
724	x	Passive	Passive	the writer was understood by the priest.	a girl is surprised by a child.
724	y	Active	Passive	the priest understood the writer.	a girl is surprised by a child.
725	y	Passive	Active	the writer was understood by the priest.	a child surprises a girl.
725	x	Active	Active	the priest understood the writer.	a child surprises a girl.
726	x	Passive	Passive	the cigarette was kept by the corporation.	a girl is surprised by a child.
726	y	Active	Passive	the corporation kept the cigarette.	a girl is surprised by a child.
727	y	Passive	Active	the cigarette was kept by the corporation.	a child surprises a girl.
727	x	Active	Active	the corporation kept the cigarette.	a child surprises a girl.
728	x	Passive	Passive	the salad was discovered by the writer.	a girl is surprised by a child.
728	y	Active	Passive	the writer discovered the salad.	a girl is surprised by a child.
729	y	Passive	Active	the salad was discovered by the writer.	a child surprises a girl.
729	x	Active	Active	the writer discovered the salad.	a child surprises a girl.
730	x	Passive	Passive	the worker was understood by the princess.	a girl is surprised by a child.
730	y	Active	Passive	the princess understood the worker.	a girl is surprised by a child.
731	y	Passive	Active	the worker was understood by the princess.	a child surprises a girl.
731	x	Active	Active	the princess understood the worker.	a child surprises a girl.
732	x	Passive	Passive	the minister was asked by the prince.	a girl is surprised by a child.
732	y	Active	Passive	the prince asked the minister.	a girl is surprised by a child.
733	y	Passive	Active	the minister was asked by the prince.	a child surprises a girl.
733	x	Active	Active	the prince asked the minister.	a child surprises a girl.
734	x	Passive	Passive	the juice was collected by the captain.	a girl is surprised by a child.
734	y	Active	Passive	the captain collected the juice.	a girl is surprised by a child.
735	y	Passive	Active	the juice was collected by the captain.	a child surprises a girl.
735	x	Active	Active	the captain collected the juice.	a child surprises a girl.
736	x	Passive	Passive	the administration was judged by the winner.	a girl is surprised by a child.
736	y	Active	Passive	the winner judged the administration.	a girl is surprised by a child.
737	y	Passive	Active	the administration was judged by the winner.	a child surprises a girl.
737	x	Active	Active	the winner judged the administration.	a child surprises a girl.
738	x	Passive	Passive	the bowl was dragged by the professor.	a girl is surprised by a child.
738	y	Active	Passive	the professor dragged the bowl.	a girl is surprised by a child.
739	y	Passive	Active	the bowl was dragged by the professor.	a child surprises a girl.
739	x	Active	Active	the professor dragged the bowl.	a child surprises a girl.
740	x	Passive	Passive	the pot was used by the champion.	an opponent is understood by a boy.
740	y	Active	Passive	the champion used the pot.	an opponent is understood by a boy.
741	y	Passive	Active	the pot was used by the champion.	a boy understands an opponent.
741	x	Active	Active	the champion used the pot.	a boy understands an opponent.
742	x	Passive	Passive	the winner was struck by the student.	an opponent is understood by a boy.
742	y	Active	Passive	the student struck the winner.	an opponent is understood by a boy.
743	y	Passive	Active	the winner was struck by the student.	a boy understands an opponent.
743	x	Active	Active	the student struck the winner.	a boy understands an opponent.
744	x	Passive	Passive	the beer was wanted by the wife.	an opponent is understood by a boy.
744	y	Active	Passive	the wife wanted the beer.	an opponent is understood by a boy.
745	y	Passive	Active	the beer was wanted by the wife.	a boy understands an opponent.
745	x	Active	Active	the wife wanted the beer.	a boy understands an opponent.
746	x	Passive	Passive	the meal was purchased by the actor.	an opponent is understood by a boy.
746	y	Active	Passive	the actor purchased the meal.	an opponent is understood by a boy.
747	y	Passive	Active	the meal was purchased by the actor.	a boy understands an opponent.
747	x	Active	Active	the actor purchased the meal.	a boy understands an opponent.
748	x	Passive	Passive	the parent was discovered by the employer.	an opponent is understood by a boy.
748	y	Active	Passive	the employer discovered the parent.	an opponent is understood by a boy.
749	y	Passive	Active	the parent was discovered by the employer.	a boy understands an opponent.
749	x	Active	Active	the employer discovered the parent.	a boy understands an opponent.
750	x	Passive	Passive	the buddy was bothered by the mother.	an opponent is understood by a boy.
750	y	Active	Passive	the mother bothered the buddy.	an opponent is understood by a boy.
751	y	Passive	Active	the buddy was bothered by the mother.	a boy understands an opponent.
751	x	Active	Active	the mother bothered the buddy.	a boy understands an opponent.
752	x	Passive	Passive	the scientist was carried by the student.	an opponent is understood by a boy.
752	y	Active	Passive	the student carried the scientist.	an opponent is understood by a boy.
753	y	Passive	Active	the scientist was carried by the student.	a boy understands an opponent.
753	x	Active	Active	the student carried the scientist.	a boy understands an opponent.
754	x	Passive	Passive	the buddy was washed by the professor.	an opponent is understood by a boy.
754	y	Active	Passive	the professor washed the buddy.	an opponent is understood by a boy.
755	y	Passive	Active	the buddy was washed by the professor.	a boy understands an opponent.
755	x	Active	Active	the professor washed the buddy.	a boy understands an opponent.
756	x	Passive	Passive	the lawyer was punched by the singer.	an opponent is understood by a boy.
756	y	Active	Passive	the singer punched the lawyer.	an opponent is understood by a boy.
757	y	Passive	Active	the lawyer was punched by the singer.	a boy understands an opponent.
757	x	Active	Active	the singer punched the lawyer.	a boy understands an opponent.
758	x	Passive	Passive	the daughter was beaten by the aunt.	an opponent is understood by a boy.
758	y	Active	Passive	the aunt beat the daughter.	an opponent is understood by a boy.
759	y	Passive	Active	the daughter was beaten by the aunt.	a boy understands an opponent.
759	x	Active	Active	the aunt beat the daughter.	a boy understands an opponent.
760	x	Passive	Passive	the salad is kept by the band.	a beer was carried by an author.
760	y	Active	Passive	the band keeps the salad.	a beer was carried by an author.
761	y	Passive	Active	the salad is kept by the band.	an author carried a beer.
761	x	Active	Active	the band keeps the salad.	an author carried a beer.
762	x	Passive	Passive	the cup is caught by the student.	a beer was carried by an author.
762	y	Active	Passive	the student catches the cup.	a beer was carried by an author.
763	y	Passive	Active	the cup is caught by the student.	an author carried a beer.
763	x	Active	Active	the student catches the cup.	an author carried a beer.
764	x	Passive	Passive	the machine is described by the nurse.	a beer was carried by an author.
764	y	Active	Passive	the nurse describes the machine.	a beer was carried by an author.
765	y	Passive	Active	the machine is described by the nurse.	an author carried a beer.
765	x	Active	Active	the nurse describes the machine.	an author carried a beer.
766	x	Passive	Passive	the boy is surprised by the teacher.	a beer was carried by an author.
766	y	Active	Passive	the teacher surprises the boy.	a beer was carried by an author.
767	y	Passive	Active	the boy is surprised by the teacher.	an author carried a beer.
767	x	Active	Active	the teacher surprises the boy.	an author carried a beer.
768	x	Passive	Passive	the buddy is dragged by the pilot.	a beer was carried by an author.
768	y	Active	Passive	the pilot drags the buddy.	a beer was carried by an author.
769	y	Passive	Active	the buddy is dragged by the pilot.	an author carried a beer.
769	x	Active	Active	the pilot drags the buddy.	an author carried a beer.
770	x	Passive	Passive	the girl is killed by the secretary.	a beer was carried by an author.
770	y	Active	Passive	the secretary kills the girl.	a beer was carried by an author.
771	y	Passive	Active	the girl is killed by the secretary.	an author carried a beer.
771	x	Active	Active	the secretary kills the girl.	an author carried a beer.
772	x	Passive	Passive	the chocolate is caught by the brother.	a beer was carried by an author.
772	y	Active	Passive	the brother catches the chocolate.	a beer was carried by an author.
773	y	Passive	Active	the chocolate is caught by the brother.	an author carried a beer.
773	x	Active	Active	the brother catches the chocolate.	an author carried a beer.
774	x	Passive	Passive	the adult is dragged by the mother.	a beer was carried by an author.
774	y	Active	Passive	the mother drags the adult.	a beer was carried by an author.
775	y	Passive	Active	the adult is dragged by the mother.	an author carried a beer.
775	x	Active	Active	the mother drags the adult.	an author carried a beer.
776	x	Passive	Passive	the cheese is eaten by the partner.	a beer was carried by an author.
776	y	Active	Passive	the partner eats the cheese.	a beer was carried by an author.
777	y	Passive	Active	the cheese is eaten by the partner.	an author carried a beer.
777	x	Active	Active	the partner eats the cheese.	an author carried a beer.
778	x	Passive	Passive	the mayor is beaten by the pilot.	a beer was carried by an author.
778	y	Active	Passive	the pilot beats the mayor.	a beer was carried by an author.
779	y	Passive	Active	the mayor is beaten by the pilot.	an author carried a beer.
779	x	Active	Active	the pilot beats the mayor.	an author carried a beer.
780	x	Passive	Passive	the coffee is forgotten by the physician.	a salad was kept by an army.
780	y	Active	Passive	the physician forgets the coffee.	a salad was kept by an army.
781	y	Passive	Active	the coffee is forgotten by the physician.	an army kept a salad.
781	x	Active	Active	the physician forgets the coffee.	an army kept a salad.
782	x	Passive	Passive	the cousin is surprised by the buddy.	a salad was kept by an army.
782	y	Active	Passive	the buddy surprises the cousin.	a salad was kept by an army.
783	y	Passive	Active	the cousin is surprised by the buddy.	an army kept a salad.
783	x	Active	Active	the buddy surprises the cousin.	an army kept a salad.
784	x	Passive	Passive	the coat is wrapped by the candidate.	a salad was kept by an army.
784	y	Active	Passive	the candidate wraps the coat.	a salad was kept by an army.
785	y	Passive	Active	the coat is wrapped by the candidate.	an army kept a salad.
785	x	Active	Active	the candidate wraps the coat.	an army kept a salad.
786	x	Passive	Passive	the beer is carried by the winner.	a salad was kept by an army.
786	y	Active	Passive	the winner carries the beer.	a salad was kept by an army.
787	y	Passive	Active	the beer is carried by the winner.	an army kept a salad.
787	x	Active	Active	the winner carries the beer.	an army kept a salad.
788	x	Passive	Passive	the pie is forgotten by the mayor.	a salad was kept by an army.
788	y	Active	Passive	the mayor forgets the pie.	a salad was kept by an army.
789	y	Passive	Active	the pie is forgotten by the mayor.	an army kept a salad.
789	x	Active	Active	the mayor forgets the pie.	an army kept a salad.
790	x	Passive	Passive	the kid is killed by the parent.	a salad was kept by an army.
790	y	Active	Passive	the parent kills the kid.	a salad was kept by an army.
791	y	Passive	Active	the kid is killed by the parent.	an army kept a salad.
791	x	Active	Active	the parent kills the kid.	an army kept a salad.
792	x	Passive	Passive	the computer is carried by the princess.	a salad was kept by an army.
792	y	Active	Passive	the princess carries the computer.	a salad was kept by an army.
793	y	Passive	Active	the computer is carried by the princess.	an army kept a salad.
793	x	Active	Active	the princess carries the computer.	an army kept a salad.
794	x	Passive	Passive	the button is left by the uncle.	a salad was kept by an army.
794	y	Active	Passive	the uncle leaves the button.	a salad was kept by an army.
795	y	Passive	Active	the button is left by the uncle.	an army kept a salad.
795	x	Active	Active	the uncle leaves the button.	an army kept a salad.
796	x	Passive	Passive	the cup is described by the attorney.	a salad was kept by an army.
796	y	Active	Passive	the attorney describes the cup.	a salad was kept by an army.
797	y	Passive	Active	the cup is described by the attorney.	an army kept a salad.
797	x	Active	Active	the attorney describes the cup.	an army kept a salad.
798	x	Passive	Passive	the cheese is tasted by the opponent.	a salad was kept by an army.
798	y	Active	Passive	the opponent tastes the cheese.	a salad was kept by an army.
799	y	Passive	Active	the cheese is tasted by the opponent.	an army kept a salad.
799	x	Active	Active	the opponent tastes the cheese.	an army kept a salad.
800	x	Passive	Passive	the flower was selected by the nurse.	a lawyer is punched by a prince.
800	y	Active	Passive	the nurse selected the flower.	a lawyer is punched by a prince.
801	y	Passive	Active	the flower was selected by the nurse.	a prince punches a lawyer.
801	x	Active	Active	the nurse selected the flower.	a prince punches a lawyer.
802	x	Passive	Passive	the jacket was removed by the candidate.	a lawyer is punched by a prince.
802	y	Active	Passive	the candidate removed the jacket.	a lawyer is punched by a prince.
803	y	Passive	Active	the jacket was removed by the candidate.	a prince punches a lawyer.
803	x	Active	Active	the candidate removed the jacket.	a prince punches a lawyer.
804	x	Passive	Passive	the lady was surprised by the colonel.	a lawyer is punched by a prince.
804	y	Active	Passive	the colonel surprised the lady.	a lawyer is punched by a prince.
805	y	Passive	Active	the lady was surprised by the colonel.	a prince punches a lawyer.
805	x	Active	Active	the colonel surprised the lady.	a prince punches a lawyer.
806	x	Passive	Passive	the beer was smelled by the minister.	a lawyer is punched by a prince.
806	y	Active	Passive	the minister smelled the beer.	a lawyer is punched by a prince.
807	y	Passive	Active	the beer was smelled by the minister.	a prince punches a lawyer.
807	x	Active	Active	the minister smelled the beer.	a prince punches a lawyer.
808	x	Passive	Passive	the iron was wanted by the business.	a lawyer is punched by a prince.
808	y	Active	Passive	the business wanted the iron.	a lawyer is punched by a prince.
809	y	Passive	Active	the iron was wanted by the business.	a prince punches a lawyer.
809	x	Active	Active	the business wanted the iron.	a prince punches a lawyer.
810	x	Passive	Passive	the wife was dragged by the reader.	a lawyer is punched by a prince.
810	y	Active	Passive	the reader dragged the wife.	a lawyer is punched by a prince.
811	y	Passive	Active	the wife was dragged by the reader.	a prince punches a lawyer.
811	x	Active	Active	the reader dragged the wife.	a prince punches a lawyer.
812	x	Passive	Passive	the cheese was kept by the army.	a lawyer is punched by a prince.
812	y	Active	Passive	the army kept the cheese.	a lawyer is punched by a prince.
813	y	Passive	Active	the cheese was kept by the army.	a prince punches a lawyer.
813	x	Active	Active	the army kept the cheese.	a prince punches a lawyer.
814	x	Passive	Passive	the coat was accepted by the cousin.	a lawyer is punched by a prince.
814	y	Active	Passive	the cousin accepted the coat.	a lawyer is punched by a prince.
815	y	Passive	Active	the coat was accepted by the cousin.	a prince punches a lawyer.
815	x	Active	Active	the cousin accepted the coat.	a prince punches a lawyer.
816	x	Passive	Passive	the instrument was prepared by the singer.	a lawyer is punched by a prince.
816	y	Active	Passive	the singer prepared the instrument.	a lawyer is punched by a prince.
817	y	Passive	Active	the instrument was prepared by the singer.	a prince punches a lawyer.
817	x	Active	Active	the singer prepared the instrument.	a prince punches a lawyer.
818	x	Passive	Passive	the telephone was caught by the colonel.	a lawyer is punched by a prince.
818	y	Active	Passive	the colonel caught the telephone.	a lawyer is punched by a prince.
819	y	Passive	Active	the telephone was caught by the colonel.	a prince punches a lawyer.
819	x	Active	Active	the colonel caught the telephone.	a prince punches a lawyer.
820	x	Passive	Passive	the father is killed by the professor.	a hero was punched by a winner.
820	y	Active	Passive	the professor kills the father.	a hero was punched by a winner.
821	y	Passive	Active	the father is killed by the professor.	a winner punched a hero.
821	x	Active	Active	the professor kills the father.	a winner punched a hero.
822	x	Passive	Passive	the plate is described by the opponent.	a hero was punched by a winner.
822	y	Active	Passive	the opponent describes the plate.	a hero was punched by a winner.
823	y	Passive	Active	the plate is described by the opponent.	a winner punched a hero.
823	x	Active	Active	the opponent describes the plate.	a winner punched a hero.
824	x	Passive	Passive	the leader is embraced by the opponent.	a hero was punched by a winner.
824	y	Active	Passive	the opponent embraces the leader.	a hero was punched by a winner.
825	y	Passive	Active	the leader is embraced by the opponent.	a winner punched a hero.
825	x	Active	Active	the opponent embraces the leader.	a winner punched a hero.
826	x	Passive	Passive	the company is judged by the king.	a hero was punched by a winner.
826	y	Active	Passive	the king judges the company.	a hero was punched by a winner.
827	y	Passive	Active	the company is judged by the king.	a winner punched a hero.
827	x	Active	Active	the king judges the company.	a winner punched a hero.
828	x	Passive	Passive	the chicken is eaten by the priest.	a hero was punched by a winner.
828	y	Active	Passive	the priest eats the chicken.	a hero was punched by a winner.
829	y	Passive	Active	the chicken is eaten by the priest.	a winner punched a hero.
829	x	Active	Active	the priest eats the chicken.	a winner punched a hero.
830	x	Passive	Passive	the newspaper is grabbed by the reader.	a hero was punched by a winner.
830	y	Active	Passive	the reader grabs the newspaper.	a hero was punched by a winner.
831	y	Passive	Active	the newspaper is grabbed by the reader.	a winner punched a hero.
831	x	Active	Active	the reader grabs the newspaper.	a winner punched a hero.
832	x	Passive	Passive	the chicken is tasted by the minister.	a hero was punched by a winner.
832	y	Active	Passive	the minister tastes the chicken.	a hero was punched by a winner.
833	y	Passive	Active	the chicken is tasted by the minister.	a winner punched a hero.
833	x	Active	Active	the minister tastes the chicken.	a winner punched a hero.
834	x	Passive	Passive	the meal is tasted by the boy.	a hero was punched by a winner.
834	y	Active	Passive	the boy tastes the meal.	a hero was punched by a winner.
835	y	Passive	Active	the meal is tasted by the boy.	a winner punched a hero.
835	x	Active	Active	the boy tastes the meal.	a winner punched a hero.
836	x	Passive	Passive	the motor is dragged by the kid.	a hero was punched by a winner.
836	y	Active	Passive	the kid drags the motor.	a hero was punched by a winner.
837	y	Passive	Active	the motor is dragged by the kid.	a winner punched a hero.
837	x	Active	Active	the kid drags the motor.	a winner punched a hero.
838	x	Passive	Passive	the leader is embraced by the prince.	a hero was punched by a winner.
838	y	Active	Passive	the prince embraces the leader.	a hero was punched by a winner.
839	y	Passive	Active	the leader is embraced by the prince.	a winner punched a hero.
839	x	Active	Active	the prince embraces the leader.	a winner punched a hero.
840	x	Passive	Passive	an adult is forgotten by a physician.	the instrument was purchased by the chief.
840	y	Active	Passive	a physician forgets an adult.	the instrument was purchased by the chief.
841	y	Passive	Active	an adult is forgotten by a physician.	the chief purchased the instrument.
841	x	Active	Active	a physician forgets an adult.	the chief purchased the instrument.
842	x	Passive	Passive	a chocolate is tasted by a lady.	the instrument was purchased by the chief.
842	y	Active	Passive	a lady tastes a chocolate.	the instrument was purchased by the chief.
843	y	Passive	Active	a chocolate is tasted by a lady.	the chief purchased the instrument.
843	x	Active	Active	a lady tastes a chocolate.	the chief purchased the instrument.
844	x	Passive	Passive	a meal is tasted by a winner.	the instrument was purchased by the chief.
844	y	Active	Passive	a winner tastes a meal.	the instrument was purchased by the chief.
845	y	Passive	Active	a meal is tasted by a winner.	the chief purchased the instrument.
845	x	Active	Active	a winner tastes a meal.	the chief purchased the instrument.
846	x	Passive	Passive	a cousin is killed by an actor.	the instrument was purchased by the chief.
846	y	Active	Passive	an actor kills a cousin.	the instrument was purchased by the chief.
847	y	Passive	Active	a cousin is killed by an actor.	the chief purchased the instrument.
847	x	Active	Active	an actor kills a cousin.	the chief purchased the instrument.
848	x	Passive	Passive	a button is left by a champion.	the instrument was purchased by the chief.
848	y	Active	Passive	a champion leaves a button.	the instrument was purchased by the chief.
849	y	Passive	Active	a button is left by a champion.	the chief purchased the instrument.
849	x	Active	Active	a champion leaves a button.	the chief purchased the instrument.
850	x	Passive	Passive	a cup is collected by a boy.	the instrument was purchased by the chief.
850	y	Active	Passive	a boy collects a cup.	the instrument was purchased by the chief.
851	y	Passive	Active	a cup is collected by a boy.	the chief purchased the instrument.
851	x	Active	Active	a boy collects a cup.	the chief purchased the instrument.
852	x	Passive	Passive	a friend is comforted by a princess.	the instrument was purchased by the chief.
852	y	Active	Passive	a princess comforts a friend.	the instrument was purchased by the chief.
853	y	Passive	Active	a friend is comforted by a princess.	the chief purchased the instrument.
853	x	Active	Active	a princess comforts a friend.	the chief purchased the instrument.
854	x	Passive	Passive	a tea is drunk by a lawyer.	the instrument was purchased by the chief.
854	y	Active	Passive	a lawyer drinks a tea.	the instrument was purchased by the chief.
855	y	Passive	Active	a tea is drunk by a lawyer.	the chief purchased the instrument.
855	x	Active	Active	a lawyer drinks a tea.	the chief purchased the instrument.
856	x	Passive	Passive	a husband is helped by an army.	the instrument was purchased by the chief.
856	y	Active	Passive	an army helps a husband.	the instrument was purchased by the chief.
857	y	Passive	Active	a husband is helped by an army.	the chief purchased the instrument.
857	x	Active	Active	an army helps a husband.	the chief purchased the instrument.
858	x	Passive	Passive	an anchor is used by a business.	the instrument was purchased by the chief.
858	y	Active	Passive	a business uses an anchor.	the instrument was purchased by the chief.
859	y	Passive	Active	an anchor is used by a business.	the chief purchased the instrument.
859	x	Active	Active	a business uses an anchor.	the chief purchased the instrument.
860	x	Passive	Passive	the corporation was joined by the student.	an administration is chased by a singer.
860	y	Active	Passive	the student joined the corporation.	an administration is chased by a singer.
861	y	Passive	Active	the corporation was joined by the student.	a singer chases an administration.
861	x	Active	Active	the student joined the corporation.	a singer chases an administration.
862	x	Passive	Passive	the opponent was bothered by the doctor.	an administration is chased by a singer.
862	y	Active	Passive	the doctor bothered the opponent.	an administration is chased by a singer.
863	y	Passive	Active	the opponent was bothered by the doctor.	a singer chases an administration.
863	x	Active	Active	the doctor bothered the opponent.	a singer chases an administration.
864	x	Passive	Passive	the friend was grabbed by the mayor.	an administration is chased by a singer.
864	y	Active	Passive	the mayor grabbed the friend.	an administration is chased by a singer.
865	y	Passive	Active	the friend was grabbed by the mayor.	a singer chases an administration.
865	x	Active	Active	the mayor grabbed the friend.	a singer chases an administration.
866	x	Passive	Passive	the meal was tasted by the worker.	an administration is chased by a singer.
866	y	Active	Passive	the worker tasted the meal.	an administration is chased by a singer.
867	y	Passive	Active	the meal was tasted by the worker.	a singer chases an administration.
867	x	Active	Active	the worker tasted the meal.	a singer chases an administration.
868	x	Passive	Passive	the crystal was wrapped by the mayor.	an administration is chased by a singer.
868	y	Active	Passive	the mayor wrapped the crystal.	an administration is chased by a singer.
869	y	Passive	Active	the crystal was wrapped by the mayor.	a singer chases an administration.
869	x	Active	Active	the mayor wrapped the crystal.	a singer chases an administration.
870	x	Passive	Passive	the man was killed by the secretary.	an administration is chased by a singer.
870	y	Active	Passive	the secretary killed the man.	an administration is chased by a singer.
871	y	Passive	Active	the man was killed by the secretary.	a singer chases an administration.
871	x	Active	Active	the secretary killed the man.	a singer chases an administration.
872	x	Passive	Passive	the friend was punched by the aunt.	an administration is chased by a singer.
872	y	Active	Passive	the aunt punched the friend.	an administration is chased by a singer.
873	y	Passive	Active	the friend was punched by the aunt.	a singer chases an administration.
873	x	Active	Active	the aunt punched the friend.	a singer chases an administration.
874	x	Passive	Passive	the wife was struck by the sheriff.	an administration is chased by a singer.
874	y	Active	Passive	the sheriff struck the wife.	an administration is chased by a singer.
875	y	Passive	Active	the wife was struck by the sheriff.	a singer chases an administration.
875	x	Active	Active	the sheriff struck the wife.	a singer chases an administration.
876	x	Passive	Passive	the professor was bothered by the captain.	an administration is chased by a singer.
876	y	Active	Passive	the captain bothered the professor.	an administration is chased by a singer.
877	y	Passive	Active	the professor was bothered by the captain.	a singer chases an administration.
877	x	Active	Active	the captain bothered the professor.	a singer chases an administration.
878	x	Passive	Passive	the salad was purchased by the club.	an administration is chased by a singer.
878	y	Active	Passive	the club purchased the salad.	an administration is chased by a singer.
879	y	Passive	Active	the salad was purchased by the club.	a singer chases an administration.
879	x	Active	Active	the club purchased the salad.	a singer chases an administration.
880	x	Passive	Passive	the cheese was smelled by the champion.	a kid is joined by a teacher.
880	y	Active	Passive	the champion smelled the cheese.	a kid is joined by a teacher.
881	y	Passive	Active	the cheese was smelled by the champion.	a teacher joins a kid.
881	x	Active	Active	the champion smelled the cheese.	a teacher joins a kid.
882	x	Passive	Passive	the man was comforted by the writer.	a kid is joined by a teacher.
882	y	Active	Passive	the writer comforted the man.	a kid is joined by a teacher.
883	y	Passive	Active	the man was comforted by the writer.	a teacher joins a kid.
883	x	Active	Active	the writer comforted the man.	a teacher joins a kid.
884	x	Passive	Passive	the scientist was punched by the physician.	a kid is joined by a teacher.
884	y	Active	Passive	the physician punched the scientist.	a kid is joined by a teacher.
885	y	Passive	Active	the scientist was punched by the physician.	a teacher joins a kid.
885	x	Active	Active	the physician punched the scientist.	a teacher joins a kid.
886	x	Passive	Passive	the champion was hurt by the bishop.	a kid is joined by a teacher.
886	y	Active	Passive	the bishop hurt the champion.	a kid is joined by a teacher.
887	y	Passive	Active	the champion was hurt by the bishop.	a teacher joins a kid.
887	x	Active	Active	the bishop hurt the champion.	a teacher joins a kid.
888	x	Passive	Passive	the captain was embraced by the employee.	a kid is joined by a teacher.
888	y	Active	Passive	the employee embraced the captain.	a kid is joined by a teacher.
889	y	Passive	Active	the captain was embraced by the employee.	a teacher joins a kid.
889	x	Active	Active	the employee embraced the captain.	a teacher joins a kid.
890	x	Passive	Passive	the man was comforted by the soldier.	a kid is joined by a teacher.
890	y	Active	Passive	the soldier comforted the man.	a kid is joined by a teacher.
891	y	Passive	Active	the man was comforted by the soldier.	a teacher joins a kid.
891	x	Active	Active	the soldier comforted the man.	a teacher joins a kid.
892	x	Passive	Passive	the bag was grabbed by the nurse.	a kid is joined by a teacher.
892	y	Active	Passive	the nurse grabbed the bag.	a kid is joined by a teacher.
893	y	Passive	Active	the bag was grabbed by the nurse.	a teacher joins a kid.
893	x	Active	Active	the nurse grabbed the bag.	a teacher joins a kid.
894	x	Passive	Passive	the ball was grabbed by the mayor.	a kid is joined by a teacher.
894	y	Active	Passive	the mayor grabbed the ball.	a kid is joined by a teacher.
895	y	Passive	Active	the ball was grabbed by the mayor.	a teacher joins a kid.
895	x	Active	Active	the mayor grabbed the ball.	a teacher joins a kid.
896	x	Passive	Passive	the company was asked by the princess.	a kid is joined by a teacher.
896	y	Active	Passive	the princess asked the company.	a kid is joined by a teacher.
897	y	Passive	Active	the company was asked by the princess.	a teacher joins a kid.
897	x	Active	Active	the princess asked the company.	a teacher joins a kid.
898	x	Passive	Passive	the iron was dragged by the actor.	a kid is joined by a teacher.
898	y	Active	Passive	the actor dragged the iron.	a kid is joined by a teacher.
899	y	Passive	Active	the iron was dragged by the actor.	a teacher joins a kid.
899	x	Active	Active	the actor dragged the iron.	a teacher joins a kid.
900	x	Passive	Passive	the guitar is forgotten by the mother.	a wire was smelled by a champion.
900	y	Active	Passive	the mother forgets the guitar.	a wire was smelled by a champion.
901	y	Passive	Active	the guitar is forgotten by the mother.	a champion smelled a wire.
901	x	Active	Active	the mother forgets the guitar.	a champion smelled a wire.
902	x	Passive	Passive	the mayor is forgiven by the lawyer.	a wire was smelled by a champion.
